,superficie,lat,lng,time_ctrl,personal,medios,TMEDIA,RACHA,SOL,Año,PRES_RANGE,target
262,4.0,43.173635,-9.014173,3.0,24,3,17.5,12.2,10.1,2001,3.60000000000002,1
263,10.0,42.860227,-8.804536,3.5,21,2,17.5,12.2,10.1,2001,3.60000000000002,1
264,6.0,42.826981,-8.687411,4.15,26,4,17.5,12.2,10.1,2001,3.60000000000002,1
265,2.3,43.003742,-8.962431,1.2,6,1,17.5,12.2,10.1,2001,3.60000000000002,1
266,2.0,42.826981,-8.687411,2.05,27,3,17.5,12.2,10.1,2001,3.60000000000002,1
267,1.0,43.501867,-8.287932,1.45,7,1,17.5,12.2,10.1,2001,3.60000000000002,1
268,1.4,42.709977,-8.787082,2.4,9,1,17.2,12.5,10.0,2001,3.10000000000002,1
269,2.0,42.97541,-9.119204,2.55,10,0,17.2,12.5,10.0,2001,3.10000000000002,1
270,1.2,43.567613,-8.219855,1.2,12,2,17.2,12.5,10.0,2001,3.10000000000002,1
271,1.0,42.700129,-8.928184,1.4,6,1,17.5,12.2,10.1,2001,3.60000000000002,1
272,2.0,43.377596,-8.327804,2.5,12,2,17.5,12.2,10.1,2001,3.60000000000002,1
273,3.5,42.626273,-9.034524,3.45,13,2,17.5,12.2,10.1,2001,3.60000000000002,1
274,1.4,43.003742,-8.962431,3.1,6,1,17.5,12.2,10.1,2001,3.60000000000002,1
275,1.0,43.100946,-8.367323,4.0,11,1,17.5,12.2,10.1,2001,3.60000000000002,1
276,1.0,43.007193,-9.05551,1.15,7,0,17.5,12.2,10.1,2001,3.60000000000002,1
